reporter_area_label,year,value,value_millions
Albania,1995,304.0,0.304
Albania,1996,287.0,0.287
Albania,1997,119.0,0.119
Albania,1998,184.0,0.184
Albania,1999,371.0,0.371
Albania,2000,317.0,0.317
Albania,2001,354.0,0.354
Albania,2002,470.0,0.47
Albania,2003,557.0,0.557
Albania,2004,645.0,0.645
Albania,2005,748.0,0.748
Albania,2006,937.0,0.937
Albania,2007,1127.0,1.127
Albania,2008,1420.0,1.42
Albania,2009,1856.0,1.856
Albania,2010,2417.0,2.417
Albania,2011,2932.0,2.932
Albania,2012,3514.0,3.514
Albania,2013,3256.0,3.256
Albania,2014,3673.0,3.673
Albania,2015,4131.0,4.131
Albania,2016,4736.0,4.736
Albania,2017,5118.0,5.118
Albania,2018,5927.0,5.927
Albania,2019,6406.0,6.406
Albania,2020,2658.0,2.658
Albania,2021,5689.0,5.689
Albania,2022,7543.8,7.5438
Albania,2023,10156.0,10.156
Albania,2024,11696.0,11.696
Algeria,1995,520.0,0.52
Algeria,1996,605.0,0.605
Algeria,1997,635.0,0.635
Algeria,1998,678.0,0.678
Algeria,1999,749.0,0.749
Algeria,2000,866.0,0.866
Algeria,2001,901.0,0.901
Algeria,2002,988.0,0.988
Algeria,2003,1166.0,1.166
Algeria,2004,1234.0,1.234
Algeria,2005,1443.0,1.443
Algeria,2006,1638.0,1.638
Algeria,2007,1743.0,1.743
Algeria,2008,1772.0,1.772
Algeria,2009,1912.0,1.912
Algeria,2010,2070.0,2.07
Algeria,2011,2395.0,2.395
Algeria,2012,2634.0,2.634
Algeria,2013,2733.0,2.733
Algeria,2014,2301.0,2.301
Algeria,2015,1710.0,1.71
Algeria,2016,2039.0,2.039
Algeria,2017,2451.0,2.451
Algeria,2018,2657.0,2.657
Algeria,2019,2371.0,2.371
Algeria,2020,591.0,0.591
Algeria,2021,125.0,0.125
Algeria,2022,1398.0,1.398
American Samoa,2010,40.3,0.040299999999999996
American Samoa,2011,41.3,0.041299999999999996
American Samoa,2012,50.2,0.0502
American Samoa,2013,49.3,0.0493
American Samoa,2014,51.6,0.0516
American Samoa,2015,47.1,0.0471
American Samoa,2016,38.3,0.038299999999999994
American Samoa,2017,42.3,0.0423
American Samoa,2018,51.8,0.0518
American Samoa,2019,58.6,0.0586
Andorra,1999,9422.0,9.422
Andorra,2000,10991.0,10.991
Andorra,2001,11351.0,11.351
Andorra,2002,11507.0,11.507
Andorra,2003,11601.0,11.601
Andorra,2004,11668.0,11.668
Andorra,2005,11049.0,11.049
Andorra,2006,10737.0,10.737
Andorra,2007,10743.0,10.743
Andorra,2008,10194.0,10.194
Andorra,2009,9112.0,9.112
Andorra,2010,8551.0,8.551
Andorra,2011,7983.0,7.983
Andorra,2012,7900.0,7.9
Andorra,2013,7676.0,7.676
Andorra,2014,7797.0,7.797
Andorra,2015,7850.0,7.85
Andorra,2016,8025.0,8.025
Andorra,2017,8152.0,8.152
Andorra,2018,8328.0,8.328
Andorra,2019,8235.0,8.235
Andorra,2020,5207.0,5.207
Andorra,2021,5422.0,5.422
Andorra,2022,8425.7,8.4257
Andorra,2023,9367.6,9.3676
Andorra,2024,9646.7,9.646700000000001
Antigua and Barbuda,1995,447.0,0.447
Antigua and Barbuda,1996,498.0,0.498
Antigua and Barbuda,1997,526.0,0.526
Antigua and Barbuda,1998,570.0,0.57
Antigua and Barbuda,1999,560.0,0.56
Antigua and Barbuda,2000,634.0,0.634
Antigua and Barbuda,2001,624.0,0.624
Antigua and Barbuda,2002,528.0,0.528
Antigua and Barbuda,2003,623.0,0.623
Antigua and Barbuda,2004,769.0,0.769
Antigua and Barbuda,2005,712.0,0.712
Antigua and Barbuda,2006,838.0,0.838
Antigua and Barbuda,2007,935.0,0.935
Antigua and Barbuda,2008,863.0,0.863
Antigua and Barbuda,2009,944.0,0.944
Antigua and Barbuda,2010,788.0,0.788
Antigua and Barbuda,2011,848.0,0.848
Antigua and Barbuda,2012,819.0,0.819
Antigua and Barbuda,2013,777.0,0.777
Antigua and Barbuda,2014,771.0,0.771
Antigua and Barbuda,2015,894.0,0.894
Antigua and Barbuda,2016,874.0,0.874
Antigua and Barbuda,2017,1040.0,1.04
Antigua and Barbuda,2018,1064.0,1.064
Antigua and Barbuda,2019,1035.0,1.035
Antigua and Barbuda,2020,143.0,0.143
Antigua and Barbuda,2021,186.4,0.1864
Antigua and Barbuda,2022,300.1,0.30010000000000003
Antigua and Barbuda,2023,320.8,0.32080000000000003
Antigua and Barbuda,2024,371.2,0.3712
Azerbaijan,1995,93.0,0.093
Azerbaijan,1996,210.0,0.21
Azerbaijan,1997,306.0,0.306
Azerbaijan,1998,483.0,0.483
Azerbaijan,1999,602.0,0.602
Azerbaijan,2000,681.0,0.681
Azerbaijan,2001,767.0,0.767
Azerbaijan,2002,834.0,0.834
Azerbaijan,2003,1038.0,1.038
Azerbaijan,2004,1279.0,1.279
Azerbaijan,2005,1177.0,1.177
Azerbaijan,2006,1194.0,1.194
Azerbaijan,2007,1333.0,1.333
Azerbaijan,2008,1899.0,1.899
Azerbaijan,2009,1830.0,1.83
Azerbaijan,2010,1963.0,1.963
Azerbaijan,2011,2239.0,2.239
