State,Average Annual Salary (USD)
Washington,93598
District of Columbia,93386
New York,90411
Massachusetts,90253
Alaska,88999
Vermont,87867
North Dakota,87440
Oregon,87374
Colorado,86898
Hawaii,85860
Nevada,84153
New Jersey,83899
Wisconsin,83413
Pennsylvania,82839
Delaware,82711
South Dakota,82640
Virginia,81931
California,81558
Minnesota,80939
Rhode Island,80930
New Hampshire,80368
Maryland,80206
New Mexico,80084
Illinois,80080
Maine,80012
Wyoming,79435
Nebraska,78793
Indiana,78637
Connecticut,78614
Ohio,78566
Mississippi,78266
Idaho,77756
Iowa,77621
Missouri,77517
Arizona,77011
Texas,76992
South Carolina,76686
Oklahoma,76304
Montana,75851
Utah,75233
North Carolina,75103
Tennessee,75006
Alabama,74904
Kansas,73702
Michigan,72029
Kentucky,71775
Louisiana,70668
Georgia,69780
Arkansas,68335
West Virginia,63977
Florida,61756
