State,Role,Average Salary
Alabama,Data Scientist,142503
Alabama,Data Engineer,101501
Alabama,Data Analyst,90792
Alabama,Business Analyst,76189
Alabama,Data Architect,135426
Alaska,Data Scientist,138171
Alaska,Data Engineer,137582
Alaska,Data Analyst,98356
Alaska,Business Analyst,91661
Alaska,Data Architect,112880
Arizona,Data Scientist,112321
Arizona,Data Engineer,104836
Arizona,Data Analyst,72825
Arizona,Business Analyst,97598
Arizona,Data Architect,116370
Arkansas,Data Scientist,131866
Arkansas,Data Engineer,106385
Arkansas,Data Analyst,73579
Arkansas,Business Analyst,95695
Arkansas,Data Architect,113968
California,Data Scientist,134492
California,Data Engineer,151720
California,Data Analyst,76429
California,Business Analyst,115196
California,Data Architect,132494
Colorado,Data Scientist,103809
Colorado,Data Engineer,115575
Colorado,Data Analyst,83304
Colorado,Business Analyst,91442
Colorado,Data Architect,154174
Connecticut,Data Scientist,98005
Connecticut,Data Engineer,122201
Connecticut,Data Analyst,78003
Connecticut,Business Analyst,70723
Connecticut,Data Architect,149747
Delaware,Data Scientist,127761
Delaware,Data Engineer,101749
Delaware,Data Analyst,65440
Delaware,Business Analyst,106641
Delaware,Data Architect,119285
Florida,Data Scientist,138755
Florida,Data Engineer,128694
Florida,Data Analyst,91821
Florida,Business Analyst,84215
Florida,Data Architect,154108
Georgia,Data Scientist,108206
Georgia,Data Engineer,119149
Georgia,Data Analyst,75810
Georgia,Business Analyst,95626
Georgia,Data Architect,142116
Hawaii,Data Scientist,121798
Hawaii,Data Engineer,159046
Hawaii,Data Analyst,61106
Hawaii,Business Analyst,97254
Hawaii,Data Architect,122937
Idaho,Data Scientist,125225
Idaho,Data Engineer,90979
Idaho,Data Analyst,79153
Idaho,Business Analyst,77459
Idaho,Data Architect,159162
Illinois,Data Scientist,124329
Illinois,Data Engineer,124850
Illinois,Data Analyst,85208
Illinois,Business Analyst,108539
Illinois,Data Architect,146776
Indiana,Data Scientist,93536
Indiana,Data Engineer,108180
Indiana,Data Analyst,80034
Indiana,Business Analyst,85566
Indiana,Data Architect,161449
Iowa,Data Scientist,133912
Iowa,Data Engineer,108183
Iowa,Data Analyst,63358
Iowa,Business Analyst,73523
Iowa,Data Architect,152248
Kansas,Data Scientist,110150
Kansas,Data Engineer,125370
Kansas,Data Analyst,95383
Kansas,Business Analyst,76665
Kansas,Data Architect,111381
Kentucky,Data Scientist,131335
Kentucky,Data Engineer,147300
Kentucky,Data Analyst,63609
Kentucky,Business Analyst,97168
Kentucky,Data Architect,118763
Louisiana,Data Scientist,128059
Louisiana,Data Engineer,110922
Louisiana,Data Analyst,84307
Louisiana,Business Analyst,100348
Louisiana,Data Architect,130095
Maine,Data Scientist,92768
Maine,Data Engineer,154171
Maine,Data Analyst,62525
Maine,Business Analyst,90859
Maine,Data Architect,166077
Maryland,Data Scientist,120820
Maryland,Data Engineer,107093
Maryland,Data Analyst,88921
Maryland,Business Analyst,102373
Maryland,Data Architect,136189
Massachusetts,Data Scientist,152887
Massachusetts,Data Engineer,154023
Massachusetts,Data Analyst,98561
Massachusetts,Business Analyst,98700
Massachusetts,Data Architect,154786
Michigan,Data Scientist,87793
Michigan,Data Engineer,121717
Michigan,Data Analyst,93820
Michigan,Business Analyst,107632
Michigan,Data Architect,163785
Minnesota,Data Scientist,112199
Minnesota,Data Engineer,116720
Minnesota,Data Analyst,94634
Minnesota,Business Analyst,103080
Minnesota,Data Architect,111730
