State,Total_Production_Btu,Coal_Btu,NaturalGas_Btu,CrudeOil_Btu,Nuclear_Btu,Coal_pct,NaturalGas_pct,CrudeOil_pct,Nuclear_pct
AK,1320750,15496,410727,884440,0,1.17,31.1,66.96,0.0
AL,1103247,303503,92525,20429,476392,27.51,8.39,1.85,43.18
AR,671299,0,399132,25316,156492,0.0,59.46,3.77,23.31
AZ,411139,0,30,40,329474,0.0,0.01,0.01,80.14
CA,1641594,0,148926,673157,185192,0.0,9.07,41.01,11.28
CO,3559311,256169,2245754,948868,0,7.2,63.1,26.66,0.0
CT,177908,0,0,0,142873,0.0,0.0,0.0,80.31
DC,1825,0,0,0,0,0.0,0.0,0.0,0.0
DE,3315,0,0,0,0,0.0,0.0,0.0,0.0
FL,531607,0,727,5814,312935,0.0,0.14,1.09,58.87
GA,660624,0,0,0,390663,0.0,0.0,0.0,59.14
HI,17524,0,0,0,0,0.0,0.0,0.0,0.0
IA,782941,0,0,0,0,0.0,0.0,0.0,0.0
ID,76920,0,2554,188,0,0.0,3.32,0.24,0.0
IL,2201058,796247,2741,39209,1019691,36.18,0.12,1.78,46.33
IN,808997,539129,4013,8704,0,66.64,0.5,1.08,0.0
KS,614156,0,160886,157420,107675,0.0,26.2,25.63,17.53
KY,850473,677470,102640,10673,0,79.66,12.07,1.25,0.0
LA,4997731,4326,4423567,194672,127634,0.09,88.51,3.9,2.55
MA,57820,0,0,0,0,0.0,0.0,0.0,0.0
MD,217026,30335,3,0,156610,13.98,0.0,0.0,72.16
ME,82781,0,0,0,0,0.0,0.0,0.0,0.0
MI,580412,0,72824,27501,292615,0.0,12.55,4.74,50.42
MN,428651,0,0,0,124626,0.0,0.0,0.0,29.07
MO,210003,3087,0,358,95947,1.47,0.0,0.17,45.69
MS,313726,27466,27937,71539,122807,8.75,8.9,22.8,39.14
MT,767125,520661,45261,128822,0,67.87,5.9,16.79,0.0
NC,614879,0,0,0,442493,0.0,0.0,0.0,71.96
ND,4491856,320145,1555143,2456032,0,7.13,34.62,54.68,0.0
NE,401345,0,280,9358,72391,0.0,0.07,2.33,18.04
NH,132967,0,0,0,99658,0.0,0.0,0.0,74.95
NJ,335370,0,0,0,296162,0.0,0.0,0.0,88.31
NM,7651766,147100,3634458,3786325,0,1.92,47.5,49.48,0.0
NV,65997,0,4,1172,0,0.0,0.01,1.78,0.0
NY,516805,0,8482,1428,287690,0.0,1.64,0.28,55.67
OH,3001427,46592,2451692,170078,169392,1.55,81.68,5.67,5.64
OK,4393809,40,3319920,891904,0,0.0,75.56,20.3,0.0
OR,192922,0,97,0,0,0.0,0.05,0.0,0.0
PA,10101804,1122315,8013558,27398,787083,11.11,79.33,0.27,7.79
RI,8863,0,0,0,0,0.0,0.0,0.0,0.0
SC,705705,0,0,0,581365,0.0,0.0,0.0,82.38
SD,235952,0,135,5171,0,0.0,0.06,2.19,0.0
TN,501599,0,3103,984,396522,0.0,0.62,0.2,79.05
TX,27104730,182181,14311730,11443509,425186,0.67,52.8,42.22,1.57
UT,825655,156571,318533,321093,0,18.96,38.58,38.89,0.0
VA,834458,282790,87638,23,310037,33.89,10.5,0.0,37.15
VT,19612,0,0,0,0,0.0,0.0,0.0,0.0
WA,440429,0,0,0,88163,0.0,0.0,0.0,20.02
WI,275057,0,0,0,101204,0.0,0.0,0.0,36.79
WV,6089936,2201825,3762937,105616,0,36.16,61.79,1.73,0.0
WY,5845631,4133004,1105416,551048,0,70.7,18.91,9.43,0.0
